time,emotion
2025-11-25 23:14:17,Calm
2025-11-25 23:14:17,Calm
2025-11-25 23:14:18,Calm
2025-11-25 23:14:18,Calm
2025-11-25 23:14:18,Calm
2025-11-25 23:14:19,Calm
2025-11-25 23:14:19,Calm
2025-11-25 23:14:20,Calm
2025-11-25 23:14:20,Sad
2025-11-25 23:14:20,Calm
2025-11-25 23:14:21,Calm
2025-11-25 23:14:21,Calm
2025-11-25 23:14:21,Calm
2025-11-25 23:14:22,Sad
2025-11-25 23:14:22,Sad
2025-11-25 23:14:23,Sad
2025-11-25 23:14:23,Sad
2025-11-25 23:14:23,Sad
2025-11-25 23:14:24,Sad
2025-11-25 23:14:24,Sad
2025-11-25 23:14:25,Sad
2025-11-25 23:14:26,Sad
2025-11-25 23:14:26,Sad
2025-11-25 23:14:26,Calm
2025-11-25 23:14:27,Calm
2025-11-25 23:14:27,Calm
2025-11-25 23:14:27,Calm
2025-11-25 23:14:28,Calm
2025-11-25 23:14:28,Calm
2025-11-25 23:14:29,Calm
2025-11-25 23:14:29,Calm
2025-11-25 23:14:29,Calm
2025-11-25 23:14:30,Calm
2025-11-25 23:14:30,Calm
2025-11-25 23:14:30,Surprised
2025-11-25 23:14:31,Surprised
2025-11-25 23:14:31,Happy
2025-11-25 23:14:32,Calm
2025-11-25 23:14:32,Happy
2025-11-25 23:14:32,Calm
2025-11-25 23:14:33,Calm
2025-11-25 23:14:33,Calm
2025-11-25 23:14:33,Happy
2025-11-25 23:14:34,Happy
2025-11-25 23:14:34,Calm
2025-11-25 23:14:34,Surprised
2025-11-25 23:14:35,Surprised
2025-11-25 23:14:35,Calm
2025-11-25 23:14:36,Calm
2025-11-25 23:14:36,Calm
2025-11-25 23:14:36,Calm
2025-11-25 23:14:37,Calm
2025-11-25 23:14:37,Happy
2025-11-25 23:14:37,Calm
2025-11-25 23:14:38,Calm
2025-11-25 23:14:38,Calm
2025-11-25 23:14:38,Calm
2025-11-25 23:14:39,Calm
2025-11-25 23:14:39,Calm
2025-11-25 23:14:39,Calm
2025-11-25 23:14:40,Calm
2025-11-25 23:14:40,Calm
2025-11-25 23:14:41,Calm
2025-11-25 23:14:41,Calm
2025-11-25 23:14:41,Calm
2025-11-25 23:14:42,Calm
2025-11-25 23:14:42,Calm
2025-11-25 23:14:42,Calm
2025-11-25 23:14:43,Calm
2025-11-25 23:14:43,Calm
2025-11-25 23:14:43,Calm
2025-11-25 23:14:44,Calm
2025-11-25 23:14:44,Calm
2025-11-25 23:14:44,Calm
2025-11-25 23:14:45,Calm
2025-11-25 23:14:45,Calm
2025-11-25 23:14:46,Calm
2025-11-25 23:14:46,Calm
2025-11-25 23:14:46,Calm
2025-11-25 23:14:47,Calm
2025-11-25 23:14:47,Calm
2025-11-25 23:14:47,Surprised
2025-11-25 23:14:48,Surprised
2025-11-25 23:14:48,Surprised
2025-11-25 23:14:49,Surprised
2025-11-25 23:14:49,Surprised
2025-11-25 23:14:49,Calm
2025-11-25 23:14:50,Calm
2025-11-25 23:14:50,Calm
2025-11-25 23:14:50,Calm
2025-11-25 23:14:51,Calm
2025-11-25 23:14:51,Calm
2025-11-25 23:14:52,Calm
2025-11-25 23:14:52,Calm
2025-11-25 23:14:52,Calm
2025-11-25 23:14:53,Calm
2025-11-25 23:14:53,Calm
2025-11-25 23:14:53,Calm
2025-11-25 23:14:54,Angry
2025-11-25 23:14:54,Happy
2025-11-25 23:14:54,Calm
2025-11-25 23:14:55,Calm
2025-11-25 23:14:55,Calm
2025-11-25 23:14:56,Calm
2025-11-25 23:14:56,Calm
2025-11-25 23:14:56,Calm
2025-11-25 23:14:57,Calm
2025-11-25 23:14:57,Surprised
2025-11-25 23:14:57,Surprised
2025-11-25 23:14:58,Calm
2025-11-25 23:14:58,Calm
2025-11-25 23:14:59,Calm
2025-11-25 23:14:59,Calm
2025-11-25 23:14:59,Calm
2025-11-25 23:15:00,Calm
2025-11-25 23:15:00,Calm
2025-11-25 23:15:00,Calm
2025-11-25 23:15:01,Calm
2025-11-25 23:15:01,Calm
2025-11-25 23:15:02,Calm
2025-11-25 23:15:02,Calm
2025-11-25 23:15:02,Happy
2025-11-25 23:15:02,Calm
2025-11-25 23:15:03,Calm
2025-11-25 23:15:03,Happy
2025-11-25 23:15:03,Calm
2025-11-25 23:15:03,Calm
2025-11-25 23:15:04,Calm
2025-11-25 23:15:04,Calm
2025-11-25 23:15:04,Calm
2025-11-25 23:15:04,Happy
2025-11-25 23:15:05,Happy
2025-11-25 23:15:05,Calm
2025-11-25 23:15:05,Calm
2025-11-25 23:15:05,Happy
2025-11-25 23:15:06,Happy
2025-11-25 23:15:06,Calm
2025-11-25 23:15:06,Happy
2025-11-25 23:15:06,Calm
2025-11-25 23:15:07,Happy
2025-11-25 23:15:07,Calm
2025-11-25 23:15:07,Calm
2025-11-25 23:15:07,Happy
2025-11-25 23:15:08,Calm
2025-11-25 23:15:08,Happy
2025-11-25 23:15:08,Calm
2025-11-25 23:15:08,Calm
2025-11-25 23:15:09,Calm
2025-11-25 23:15:09,Happy
2025-11-25 23:15:09,Calm
2025-11-25 23:15:09,Calm
2025-11-25 23:15:10,Calm
2025-11-25 23:15:10,Calm
2025-11-25 23:15:10,Happy
2025-11-25 23:15:10,Calm
2025-11-25 23:15:10,Calm
2025-11-25 23:15:11,Calm
2025-11-25 23:15:11,Happy
2025-11-25 23:15:11,Calm
2025-11-25 23:15:11,Surprised
2025-11-25 23:15:12,Calm
2025-11-25 23:15:12,Happy
2025-11-25 23:15:12,Calm
2025-11-25 23:15:12,Surprised
2025-11-25 23:15:12,Calm
2025-11-25 23:15:13,Calm
2025-11-25 23:15:13,Calm
2025-11-25 23:15:13,Calm
2025-11-25 23:15:13,Calm
2025-11-25 23:15:14,Calm
2025-11-25 23:15:14,Happy
2025-11-25 23:15:14,Surprised
2025-11-25 23:15:14,Happy
2025-11-25 23:15:15,Surprised
2025-11-25 23:15:15,Happy
2025-11-25 23:15:15,Calm
2025-11-25 23:15:15,Happy
2025-11-25 23:15:16,Surprised
2025-11-25 23:15:16,Sad
2025-11-25 23:15:16,Surprised
2025-11-25 23:15:16,Sad
2025-11-25 23:15:17,Calm
2025-11-25 23:15:17,Calm
2025-11-25 23:15:17,Calm
2025-11-25 23:15:17,Calm
2025-11-25 23:15:17,Sad
2025-11-25 23:15:18,Calm
2025-11-25 23:15:18,Calm
2025-11-25 23:15:18,Calm
2025-11-25 23:15:18,Calm
2025-11-25 23:15:18,Calm
2025-11-25 23:15:19,Calm
2025-11-25 23:15:19,Calm
2025-11-25 23:15:19,Calm
2025-11-25 23:15:19,Calm
2025-11-25 23:15:20,Calm
2025-11-25 23:15:20,Calm
2025-11-25 23:15:20,Calm
2025-11-25 23:15:20,Calm
2025-11-25 23:15:20,Calm
2025-11-25 23:15:21,Sad
2025-11-25 23:15:21,Calm
2025-11-25 23:15:21,Calm
2025-11-25 23:15:22,Sad
2025-11-25 23:15:22,Calm
2025-11-25 23:15:22,Calm
2025-11-25 23:15:23,Calm
2025-11-25 23:15:23,Calm
2025-11-25 23:15:24,Calm
2025-11-25 23:15:24,Calm
2025-11-25 23:15:24,Happy
2025-11-25 23:15:24,Angry
2025-11-25 23:15:25,Calm
2025-11-25 23:15:25,Calm
2025-11-25 23:15:25,Calm
2025-11-25 23:15:25,Calm
2025-11-25 23:15:26,Surprised
2025-11-25 23:15:26,Calm
2025-11-25 23:15:26,Surprised
2025-11-25 23:15:26,Calm
2025-11-25 23:15:27,Surprised
2025-11-25 23:15:27,Calm
2025-11-25 23:15:27,Surprised
2025-11-25 23:15:27,Calm
2025-11-25 23:15:28,Calm
2025-11-25 23:15:28,Calm
2025-11-25 23:15:28,Calm
2025-11-25 23:15:29,Calm
2025-11-25 23:15:29,Calm
2025-11-25 23:15:30,Calm
2025-11-25 23:15:30,Calm
2025-11-25 23:15:30,Calm
2025-11-25 23:15:30,Calm
2025-11-25 23:15:31,Surprised
2025-11-25 23:15:31,Happy
2025-11-25 23:15:31,Surprised
2025-11-25 23:15:31,Calm
2025-11-25 23:15:32,Surprised
2025-11-25 23:15:32,Calm
2025-11-25 23:15:32,Calm
2025-11-25 23:15:32,Surprised
2025-11-25 23:15:33,Calm
2025-11-25 23:15:33,Calm
2025-11-25 23:15:33,Surprised
2025-11-25 23:15:33,Calm
2025-11-25 23:15:34,Happy
2025-11-25 23:15:34,Calm
2025-11-25 23:15:34,Calm
2025-11-25 23:15:34,Calm
2025-11-25 23:15:35,Happy
2025-11-25 23:15:35,Calm
2025-11-25 23:15:35,Happy
2025-11-25 23:15:35,Calm
2025-11-25 23:15:36,Happy
2025-11-25 23:15:36,Calm
2025-11-25 23:15:36,Happy
2025-11-25 23:15:36,Calm
2025-11-25 23:15:37,Calm
2025-11-25 23:15:37,Calm
2025-11-25 23:15:37,Happy
2025-11-25 23:15:37,Calm
2025-11-25 23:15:38,Happy
2025-11-25 23:15:38,Calm
2025-11-25 23:15:38,Happy
2025-11-25 23:15:38,Calm
2025-11-25 23:15:39,Calm
2025-11-25 23:15:39,Calm
2025-11-25 23:15:39,Calm
